year,month,month_date,total_generation_mwh,renewable_mwh,wind_mwh,solar_mwh,gas_mwh,coal_mwh,renewable_pct,solar_pct,wind_pct,renewable_pct_prior_year,renewable_yoy_change
2015,1,2015-01-01,38164000.0,3063000.0,3031000.0,32000.0,19252000.0,11365000.0,8.026,0.084,7.942,,
2015,2,2015-02-01,33449000.0,3301000.0,3268000.0,33000.0,16980000.0,9146000.0,9.869,0.099,9.77,,
2015,3,2015-03-01,33042000.0,2586000.0,2544000.0,42000.0,18801000.0,7403000.0,7.826,0.127,7.699,,
2015,4,2015-04-01,32009000.0,4144000.0,4099000.0,45000.0,17317000.0,7224000.0,12.946,0.141,12.806,,
2015,5,2015-05-01,35902000.0,4418000.0,4371000.0,47000.0,17995000.0,9416000.0,12.306,0.131,12.175,,
2015,6,2015-06-01,41647000.0,3474000.0,3411000.0,63000.0,21171000.0,12734000.0,8.342,0.151,8.19,,
2015,7,2015-07-01,46935000.0,4129000.0,4059000.0,70000.0,25090000.0,13390000.0,8.797,0.149,8.648,,
2015,8,2015-08-01,46863000.0,3291000.0,3218000.0,73000.0,25789000.0,13450000.0,7.023,0.156,6.867,,
2015,9,2015-09-01,41496000.0,3528000.0,3465000.0,63000.0,21630000.0,12171000.0,8.502,0.152,8.35,,
2015,10,2015-10-01,35261000.0,3717000.0,3661000.0,56000.0,18870000.0,9726000.0,10.541,0.159,10.383,,
2015,11,2015-11-01,31934000.0,4761000.0,4722000.0,39000.0,16358000.0,7958000.0,14.909,0.122,14.787,,
2015,12,2015-12-01,34793000.0,5046000.0,4984000.0,62000.0,18478000.0,7573000.0,14.503,0.178,14.325,,
2016,1,2016-01-01,35812000.0,4515000.0,4451000.0,64000.0,18494000.0,8524000.0,12.608,0.179,12.429,8.026,4.582000000000001
2016,2,2016-02-01,31654000.0,5197000.0,5120000.0,77000.0,16120000.0,6203000.0,16.418,0.243,16.175,9.869,6.5489999999999995
2016,3,2016-03-01,32809000.0,5715000.0,5635000.0,80000.0,18122000.0,4503000.0,17.419,0.244,17.175,7.826,9.593
2016,4,2016-04-01,32743000.0,4823000.0,4737000.0,86000.0,17251000.0,6334000.0,14.73,0.263,14.467,12.946,1.7840000000000007
2016,5,2016-05-01,36972000.0,5258000.0,5173000.0,85000.0,19321000.0,8880000.0,14.222,0.23,13.992,12.306,1.9160000000000004
2016,6,2016-06-01,42872000.0,3885000.0,3782000.0,103000.0,21595000.0,12959000.0,9.062,0.24,8.822,8.342,0.7199999999999989
2016,7,2016-07-01,48235000.0,5786000.0,5675000.0,111000.0,24140000.0,13906000.0,11.995,0.23,11.765,8.797,3.1979999999999986
2016,8,2016-08-01,46563000.0,3800000.0,3702000.0,98000.0,24861000.0,13408000.0,8.161,0.21,7.951,7.023,1.138
2016,9,2016-09-01,42046000.0,4029000.0,3915000.0,114000.0,20988000.0,12746000.0,9.582,0.271,9.311,8.502,1.08
2016,10,2016-10-01,37670000.0,5564000.0,5451000.0,113000.0,16538000.0,12029000.0,14.77,0.3,14.47,10.541,4.228999999999999
2016,11,2016-11-01,32607000.0,4610000.0,4516000.0,94000.0,14809000.0,9214000.0,14.138,0.288,13.85,14.909,-0.7710000000000008
2016,12,2016-12-01,36132000.0,5469000.0,5373000.0,96000.0,13738000.0,12527000.0,15.136,0.266,14.87,14.503,0.6329999999999991
2017,1,2017-01-01,35477000.0,5988000.0,5873000.0,115000.0,13501000.0,11556000.0,16.879,0.324,16.554,12.608,4.271000000000001
2017,2,2017-02-01,30249000.0,5969000.0,5828000.0,141000.0,11952000.0,8360000.0,19.733,0.466,19.267,16.418,3.3150000000000013
2017,3,2017-03-01,33706000.0,7307000.0,7095000.0,212000.0,14143000.0,8309000.0,21.679,0.629,21.05,17.419,4.259999999999998
2017,4,2017-04-01,33454000.0,7170000.0,6929000.0,241000.0,14099000.0,9712000.0,21.432,0.72,20.712,14.73,6.701999999999998
2017,5,2017-05-01,38276000.0,6596000.0,6310000.0,286000.0,16119000.0,11370000.0,17.233,0.747,16.486,14.222,3.011000000000001
2017,6,2017-06-01,42246000.0,5117000.0,4839000.0,278000.0,20904000.0,12738000.0,12.112,0.658,11.454,9.062,3.0500000000000007
2017,7,2017-07-01,48131000.0,4803000.0,4511000.0,292000.0,25949000.0,13906000.0,9.979,0.607,9.372,11.995,-2.016
2017,8,2017-08-01,45669000.0,3960000.0,3694000.0,266000.0,24326000.0,13408000.0,8.671,0.582,8.089,8.161,0.5099999999999998
2017,9,2017-09-01,39211000.0,4980000.0,4754000.0,226000.0,17806000.0,12355000.0,12.701,0.576,12.124,9.582,3.1189999999999998
2017,10,2017-10-01,36149000.0,6245000.0,6003000.0,242000.0,15725000.0,10516000.0,17.276,0.669,16.606,14.77,2.5060000000000002
2017,11,2017-11-01,33967000.0,6081000.0,5895000.0,186000.0,13064000.0,10948000.0,17.903,0.548,17.355,14.138,3.764999999999999
2017,12,2017-12-01,38311000.0,5511000.0,5330000.0,181000.0,16923000.0,11470000.0,14.385,0.472,13.912,15.136,-0.7509999999999994
2018,1,2018-01-01,40245000.0,6848000.0,6602000.0,246000.0,18279000.0,10673000.0,17.016,0.611,16.405,16.879,0.1369999999999969
2018,2,2018-02-01,33488000.0,6278000.0,6041000.0,237000.0,16108000.0,7109000.0,18.747,0.708,18.039,19.733,-0.9860000000000007
2018,3,2018-03-01,34226000.0,7520000.0,7210000.0,310000.0,16318000.0,6262000.0,21.972,0.906,21.066,21.679,0.2930000000000028
