datetime,year,month,day,hour,demand_mw,baseline_load_mw,demand_surge_mw,outage_period_flag,peak_demand_in_period,min_demand_in_period,avg_baseline
2021-02-11 00:00:00,2021,2,11,0,54681.965525,37135.69685387719,17546.26867112281,0,69692.485103,33953.36042,39539.96555889257
2021-02-11 01:00:00,2021,2,11,1,46604.818435,35786.84865494737,10817.969780052634,0,69692.485103,33953.36042,39539.96555889257
2021-02-11 02:00:00,2021,2,11,2,46226.917677,35100.17627763158,11126.741399368417,1,69692.485103,33953.36042,39539.96555889257
2021-02-11 03:00:00,2021,2,11,3,46269.290144,34877.255225140354,11392.034918859645,1,69692.485103,33953.36042,39539.96555889257
2021-02-11 04:00:00,2021,2,11,4,46777.459486,35047.52129968421,11729.93818631579,1,69692.485103,33953.36042,39539.96555889257
2021-02-11 05:00:00,2021,2,11,5,48141.034374,35919.61006805262,12221.424305947381,1,69692.485103,33953.36042,39539.96555889257
2021-02-11 06:00:00,2021,2,11,6,50731.712604,38045.805104578954,12685.907499421046,1,69692.485103,33953.36042,39539.96555889257
2021-02-11 07:00:00,2021,2,11,7,54184.912097,41270.49083533332,12914.421261666677,1,69692.485103,33953.36042,39539.96555889257
2021-02-11 08:00:00,2021,2,11,8,56832.58567,42620.682086210516,14211.903583789484,1,69692.485103,33953.36042,39539.96555889257
2021-02-11 09:00:00,2021,2,11,9,58104.259661,42497.762383403504,15606.497277596492,1,69692.485103,33953.36042,39539.96555889257
2021-02-11 10:00:00,2021,2,11,10,59097.61095,42272.31935943859,16825.291590561414,1,69692.485103,33953.36042,39539.96555889257
2021-02-11 11:00:00,2021,2,11,11,59769.175369,41856.66013261403,17912.515236385967,1,69692.485103,33953.36042,39539.96555889257
2021-02-11 12:00:00,2021,2,11,12,60106.741059,41213.29881550878,18893.44224349122,1,69692.485103,33953.36042,39539.96555889257
2021-02-11 13:00:00,2021,2,11,13,59834.232521,40532.008043877184,19302.224477122814,1,69692.485103,33953.36042,39539.96555889257
2021-02-11 14:00:00,2021,2,11,14,59497.094854,40049.10537268421,19447.989481315795,1,69692.485103,33953.36042,39539.96555889257
2021-02-11 15:00:00,2021,2,11,15,59113.319964,39598.17088292982,19515.14908107018,1,69692.485103,33953.36042,39539.96555889257
2021-02-11 16:00:00,2021,2,11,16,58978.420642,39352.67713650876,19625.743505491235,1,69692.485103,33953.36042,39539.96555889257
2021-02-11 17:00:00,2021,2,11,17,59218.322066,39539.544454228075,19678.777611771926,1,69692.485103,33953.36042,39539.96555889257
2021-02-11 18:00:00,2021,2,11,18,59998.969663,40170.26836966667,19828.70129333333,1,69692.485103,33953.36042,39539.96555889257
2021-02-11 19:00:00,2021,2,11,19,61119.996619,41752.942725350884,19367.053893649114,1,69692.485103,33953.36042,39539.96555889257
2021-02-11 20:00:00,2021,2,11,20,61103.566966,42331.17587022807,18772.391095771927,1,69692.485103,33953.36042,39539.96555889257
2021-02-11 21:00:00,2021,2,11,21,60543.599096,41967.49218668421,18576.106909315786,1,69692.485103,33953.36042,39539.96555889257
2021-02-11 22:00:00,2021,2,11,22,58872.237551,40941.10521463158,17931.13233636842,1,69692.485103,33953.36042,39539.96555889257
2021-02-11 23:00:00,2021,2,11,23,56636.508871,39080.556060210525,17555.952810789473,1,69692.485103,33953.36042,39539.96555889257
2021-02-12 00:00:00,2021,2,12,0,57584.437826,37135.69685387719,20448.74097212281,1,69692.485103,33953.36042,39539.96555889257
2021-02-12 01:00:00,2021,2,12,1,53562.936423,35786.84865494737,17776.087768052632,1,69692.485103,33953.36042,39539.96555889257
2021-02-12 02:00:00,2021,2,12,2,53152.279639,35100.17627763158,18052.10336136842,1,69692.485103,33953.36042,39539.96555889257
2021-02-12 03:00:00,2021,2,12,3,53141.030156,34877.255225140354,18263.774930859647,1,69692.485103,33953.36042,39539.96555889257
2021-02-12 04:00:00,2021,2,12,4,53554.724371,35047.52129968421,18507.203071315787,1,69692.485103,33953.36042,39539.96555889257
2021-02-12 05:00:00,2021,2,12,5,54726.07796,35919.61006805262,18806.46789194738,1,69692.485103,33953.36042,39539.96555889257
2021-02-12 06:00:00,2021,2,12,6,56985.096717,38045.805104578954,18939.291612421046,1,69692.485103,33953.36042,39539.96555889257
2021-02-12 07:00:00,2021,2,12,7,60176.471876,41270.49083533332,18905.98104066668,1,69692.485103,33953.36042,39539.96555889257
2021-02-12 08:00:00,2021,2,12,8,62344.565772,42620.682086210516,19723.883685789486,1,69692.485103,33953.36042,39539.96555889257
2021-02-12 09:00:00,2021,2,12,9,63306.649977,42497.762383403504,20808.887593596497,1,69692.485103,33953.36042,39539.96555889257
2021-02-12 10:00:00,2021,2,12,10,63843.868562,42272.31935943859,21571.549202561415,1,69692.485103,33953.36042,39539.96555889257
2021-02-12 11:00:00,2021,2,12,11,63997.226899,41856.66013261403,22140.56676638597,1,69692.485103,33953.36042,39539.96555889257
2021-02-12 12:00:00,2021,2,12,12,63482.487378,41213.29881550878,22269.188562491217,1,69692.485103,33953.36042,39539.96555889257
2021-02-12 13:00:00,2021,2,12,13,62794.356638,40532.008043877184,22262.348594122814,1,69692.485103,33953.36042,39539.96555889257
2021-02-12 14:00:00,2021,2,12,14,62204.476763,40049.10537268421,22155.37139031579,1,69692.485103,33953.36042,39539.96555889257
2021-02-12 15:00:00,2021,2,12,15,61773.97051,39598.17088292982,22175.799627070177,1,69692.485103,33953.36042,39539.96555889257
2021-02-12 16:00:00,2021,2,12,16,61285.521495,39352.67713650876,21932.84435849124,1,69692.485103,33953.36042,39539.96555889257
2021-02-12 17:00:00,2021,2,12,17,61381.185086,39539.544454228075,21841.640631771923,1,69692.485103,33953.36042,39539.96555889257
2021-02-12 18:00:00,2021,2,12,18,62128.267791,40170.26836966667,21957.999421333327,1,69692.485103,33953.36042,39539.96555889257
2021-02-12 19:00:00,2021,2,12,19,63112.311223,41752.942725350884,21359.368497649113,1,69692.485103,33953.36042,39539.96555889257
2021-02-12 20:00:00,2021,2,12,20,63056.437768,42331.17587022807,20725.261897771932,1,69692.485103,33953.36042,39539.96555889257
2021-02-12 21:00:00,2021,2,12,21,62357.533838,41967.49218668421,20390.04165131579,1,69692.485103,33953.36042,39539.96555889257
2021-02-12 22:00:00,2021,2,12,22,61175.484657,40941.10521463158,20234.379442368423,1,69692.485103,33953.36042,39539.96555889257
2021-02-12 23:00:00,2021,2,12,23,59281.103508,39080.556060210525,20200.547447789475,1,69692.485103,33953.36042,39539.96555889257
2021-02-13 00:00:00,2021,2,13,0,56271.599548,37135.69685387719,19135.902694122808,1,69692.485103,33953.36042,39539.96555889257
2021-02-13 01:00:00,2021,2,13,1,56129.906081,35786.84865494737,20343.057426052634,1,69692.485103,33953.36042,39539.96555889257
2021-02-13 02:00:00,2021,2,13,2,55483.30328,35100.17627763158,20383.12700236842,1,69692.485103,33953.36042,39539.96555889257
2021-02-13 03:00:00,2021,2,13,3,55251.927618,34877.255225140354,20374.672392859648,1,69692.485103,33953.36042,39539.96555889257
2021-02-13 04:00:00,2021,2,13,4,55404.951309,35047.52129968421,20357.430009315787,1,69692.485103,33953.36042,39539.96555889257
2021-02-13 05:00:00,2021,2,13,5,56082.633772,35919.61006805262,20163.02370394738,1,69692.485103,33953.36042,39539.96555889257
2021-02-13 06:00:00,2021,2,13,6,57394.453237,38045.805104578954,19348.648132421047,1,69692.485103,33953.36042,39539.96555889257
2021-02-13 07:00:00,2021,2,13,7,58997.213996,41270.49083533332,17726.723160666676,1,69692.485103,33953.36042,39539.96555889257
2021-02-13 08:00:00,2021,2,13,8,60469.785379,42620.682086210516,17849.103292789485,1,69692.485103,33953.36042,39539.96555889257
2021-02-13 09:00:00,2021,2,13,9,62047.109916,42497.762383403504,19549.347532596497,1,69692.485103,33953.36042,39539.96555889257
2021-02-13 10:00:00,2021,2,13,10,63495.36718,42272.31935943859,21223.047820561413,1,69692.485103,33953.36042,39539.96555889257
2021-02-13 11:00:00,2021,2,13,11,64132.067362,41856.66013261403,22275.40722938597,1,69692.485103,33953.36042,39539.96555889257
2021-02-13 12:00:00,2021,2,13,12,63591.457891,41213.29881550878,22378.159075491218,1,69692.485103,33953.36042,39539.96555889257
2021-02-13 13:00:00,2021,2,13,13,62101.960451,40532.008043877184,21569.952407122815,1,69692.485103,33953.36042,39539.96555889257
2021-02-13 14:00:00,2021,2,13,14,60180.324518,40049.10537268421,20131.219145315794,1,69692.485103,33953.36042,39539.96555889257
2021-02-13 15:00:00,2021,2,13,15,58570.913466,39598.17088292982,18972.742583070176,1,69692.485103,33953.36042,39539.96555889257
2021-02-13 16:00:00,2021,2,13,16,57505.862231,39352.67713650876,18153.185094491237,1,69692.485103,33953.36042,39539.96555889257
2021-02-13 17:00:00,2021,2,13,17,57649.766356,39539.544454228075,18110.221901771925,1,69692.485103,33953.36042,39539.96555889257
2021-02-13 18:00:00,2021,2,13,18,58850.493328,40170.26836966667,18680.224958333325,1,69692.485103,33953.36042,39539.96555889257
2021-02-13 19:00:00,2021,2,13,19,60585.12637,41752.942725350884,18832.183644649114,1,69692.485103,33953.36042,39539.96555889257
2021-02-13 20:00:00,2021,2,13,20,60798.900218,42331.17587022807,18467.72434777193,1,69692.485103,33953.36042,39539.96555889257
2021-02-13 21:00:00,2021,2,13,21,60185.33247,41967.49218668421,18217.84028331579,1,69692.485103,33953.36042,39539.96555889257
2021-02-13 22:00:00,2021,2,13,22,59157.563205,40941.10521463158,18216.45799036842,1,69692.485103,33953.36042,39539.96555889257
2021-02-13 23:00:00,2021,2,13,23,57579.011768,39080.556060210525,18498.45570778947,1,69692.485103,33953.36042,39539.96555889257
2021-02-14 00:00:00,2021,2,14,0,66270.516041,37135.69685387719,29134.819187122805,1,69692.485103,33953.36042,39539.96555889257
2021-02-14 01:00:00,2021,2,14,1,55282.612321,35786.84865494737,19495.763666052633,1,69692.485103,33953.36042,39539.96555889257
2021-02-14 02:00:00,2021,2,14,2,54746.707866,35100.17627763158,19646.531588368416,1,69692.485103,33953.36042,39539.96555889257
2021-02-14 03:00:00,2021,2,14,3,54701.390156,34877.255225140354,19824.134930859647,1,69692.485103,33953.36042,39539.96555889257
2021-02-14 04:00:00,2021,2,14,4,55005.101768,35047.52129968421,19957.58046831579,1,69692.485103,33953.36042,39539.96555889257
2021-02-14 05:00:00,2021,2,14,5,55630.168758,35919.61006805262,19710.55868994738,1,69692.485103,33953.36042,39539.96555889257
2021-02-14 06:00:00,2021,2,14,6,56680.453743,38045.805104578954,18634.648638421044,1,69692.485103,33953.36042,39539.96555889257
2021-02-14 07:00:00,2021,2,14,7,58071.4741,41270.49083533332,16800.983264666676,1,69692.485103,33953.36042,39539.96555889257
2021-02-14 08:00:00,2021,2,14,8,59511.076578,42620.682086210516,16890.394491789484,1,69692.485103,33953.36042,39539.96555889257
2021-02-14 09:00:00,2021,2,14,9,61299.993234,42497.762383403504,18802.230850596497,1,69692.485103,33953.36042,39539.96555889257
2021-02-14 10:00:00,2021,2,14,10,63072.424062,42272.31935943859,20800.10470256141,1,69692.485103,33953.36042,39539.96555889257
2021-02-14 11:00:00,2021,2,14,11,64185.233898,41856.66013261403,22328.57376538597,1,69692.485103,33953.36042,39539.96555889257
2021-02-14 12:00:00,2021,2,14,12,64864.155614,41213.29881550878,23650.856798491222,1,69692.485103,33953.36042,39539.96555889257
2021-02-14 13:00:00,2021,2,14,13,65047.452214,40532.008043877184,24515.444170122813,1,69692.485103,33953.36042,39539.96555889257
2021-02-14 14:00:00,2021,2,14,14,65028.901398,40049.10537268421,24979.796025315794,1,69692.485103,33953.36042,39539.96555889257
2021-02-14 15:00:00,2021,2,14,15,65188.548863,39598.17088292982,25590.37798007018,1,69692.485103,33953.36042,39539.96555889257
2021-02-14 16:00:00,2021,2,14,16,65556.734519,39352.67713650876,26204.057382491243,1,69692.485103,33953.36042,39539.96555889257
2021-02-14 17:00:00,2021,2,14,17,66468.017752,39539.544454228075,26928.473297771925,1,69692.485103,33953.36042,39539.96555889257
2021-02-14 18:00:00,2021,2,14,18,68094.825386,40170.26836966667,27924.557016333325,1,69692.485103,33953.36042,39539.96555889257
2021-02-14 19:00:00,2021,2,14,19,69635.0869,41752.942725350884,27882.14417464911,1,69692.485103,33953.36042,39539.96555889257
