year,hour,season,avg_load_mw,avg_wind_mw,avg_solar_mw,net_load_mw,season_min_net_load,evening_peak_net_load,duck_curve_depth_mw
2015,0,shoulder,34109.37996310016,5213.157108721624,66.50985663082437,28829.712997747713,23642.758509880554,37620.215375966225,13977.456866085671
2015,1,shoulder,31798.420262612246,5213.157108721624,66.50985663082437,26518.753297259795,23642.758509880554,37620.215375966225,13977.456866085671
2015,2,shoulder,30293.043463676342,5213.157108721624,66.50985663082437,25013.376498323894,23642.758509880554,37620.215375966225,13977.456866085671
2015,3,shoulder,29371.643789256905,5213.157108721624,66.50985663082437,24091.976823904453,23642.758509880554,37620.215375966225,13977.456866085671
2015,4,shoulder,28922.425475233,5213.157108721624,66.50985663082437,23642.758509880554,23642.758509880554,37620.215375966225,13977.456866085671
2015,5,shoulder,29102.400587485197,5213.157108721624,66.50985663082436,23822.733622132742,23642.758509880554,37620.215375966225,13977.456866085671
2015,6,shoulder,30468.36181345193,5213.157108721624,66.50985663082436,25188.69484809948,23642.758509880554,37620.215375966225,13977.456866085671
2015,7,shoulder,33016.57597153464,5213.157108721624,66.50985663082437,27736.90900618219,23642.758509880554,37620.215375966225,13977.456866085671
2015,8,shoulder,34091.72627637482,5213.157108721624,66.50985663082437,28812.05931102237,23642.758509880554,37620.215375966225,13977.456866085671
2015,9,shoulder,34831.37366691062,5213.157108721624,66.50985663082437,29551.706701558174,23642.758509880554,37620.215375966225,13977.456866085671
2015,10,shoulder,36248.98556394294,5213.157108721624,66.50985663082437,30969.318598590486,23642.758509880554,37620.215375966225,13977.456866085671
2015,11,shoulder,37727.3520056568,5213.157108721624,66.50985663082437,32447.685040304354,23642.758509880554,37620.215375966225,13977.456866085671
2015,12,shoulder,38996.48308231583,5213.157108721624,66.50985663082437,33716.816116963375,23642.758509880554,37620.215375966225,13977.456866085671
2015,13,shoulder,40087.89771046731,5213.157108721624,66.50985663082437,34808.230745114866,23642.758509880554,37620.215375966225,13977.456866085671
2015,14,shoulder,41141.49029023814,5213.157108721624,66.50985663082437,35861.82332488569,23642.758509880554,37620.215375966225,13977.456866085671
2015,15,shoulder,41926.15222257565,5213.157108721624,66.50985663082436,36646.4852572232,23642.758509880554,37620.215375966225,13977.456866085671
2015,16,shoulder,42524.35183857547,5213.157108721624,66.50985663082437,37244.68487322302,23642.758509880554,37620.215375966225,13977.456866085671
2015,17,shoulder,42899.88234131868,5213.157108721624,66.50985663082436,37620.21537596622,23642.758509880554,37620.215375966225,13977.456866085671
2015,18,shoulder,42870.35998235079,5213.157108721624,66.50985663082437,37590.69301699834,23642.758509880554,37620.215375966225,13977.456866085671
