year,month,date,monthly_avg,monthly_min,monthly_max
2023,4,2023-04-28,2.1631578947368424,1.87,2.27
2023,5,2023-05-31,2.1468181818181815,1.85,2.37
2023,6,2023-06-30,2.177142857142857,1.74,2.71
2023,7,2023-07-31,2.5509999999999997,2.46,2.68
2023,8,2023-08-31,2.5830434782608696,2.42,2.92
2023,9,2023-09-29,2.6365000000000003,2.45,2.81
2023,10,2023-10-31,2.9814285714285713,2.6,3.34
2023,11,2023-11-30,2.7076190476190476,2.0,3.19
2023,12,2023-12-29,2.523,2.33,2.76
2024,1,2024-01-31,3.1761904761904765,2.15,13.2
2024,2,2024-02-29,1.7215,1.5,2.15
2024,3,2024-03-28,1.4929999999999999,1.25,1.67
2024,4,2024-04-30,1.5990909090909091,1.36,1.9
2024,5,2024-05-31,2.1204545454545456,1.63,2.64
2024,6,2024-06-28,2.5357894736842104,2.27,2.8
2024,7,2024-07-31,2.075454545454545,1.81,2.42
2024,8,2024-08-30,1.9904545454545455,1.82,2.19
2024,9,2024-09-30,2.276,1.93,2.65
2024,10,2024-10-31,2.199090909090909,1.76,2.77
2024,11,2024-11-29,2.117,1.21,3.39
2024,12,2024-12-31,3.005714285714286,2.75,3.4
