datetime,year,month,day,hour,zone,load_mw
2021-02-01 09:00:00,2021,2,1,9,SOUTH,3189.550372
2021-02-01 09:00:00,2021,2,1,9,WEST,1452.838286
2021-02-01 09:00:00,2021,2,1,9,EAST,1992.439133
2021-02-01 09:00:00,2021,2,1,9,SCENT,7390.231263
2021-02-01 09:00:00,2021,2,1,9,FWEST,3880.209249
2021-02-01 09:00:00,2021,2,1,9,TOTAL,47250.716431
2021-02-01 10:00:00,2021,2,1,10,EAST,1894.63809
2021-02-01 10:00:00,2021,2,1,10,SCENT,7058.707532
2021-02-01 10:00:00,2021,2,1,10,SOUTH,3141.254824
2021-02-01 10:00:00,2021,2,1,10,NCENT,15008.166256
2021-02-01 10:00:00,2021,2,1,10,TOTAL,45650.913055
2021-02-01 10:00:00,2021,2,1,10,NORTH,922.552665
2021-02-01 10:00:00,2021,2,1,10,FWEST,3799.150532
2021-02-01 10:00:00,2021,2,1,10,WEST,1344.991453
2021-02-01 10:00:00,2021,2,1,10,COAST,12481.451702
2021-02-01 11:00:00,2021,2,1,11,SCENT,6681.475053
2021-02-01 11:00:00,2021,2,1,11,NCENT,14301.022979
2021-02-01 11:00:00,2021,2,1,11,WEST,1263.852196
2021-02-01 11:00:00,2021,2,1,11,EAST,1785.647204
2021-02-01 11:00:00,2021,2,1,11,NORTH,876.331112
2021-02-01 11:00:00,2021,2,1,11,COAST,12374.050123
2021-02-01 11:00:00,2021,2,1,11,TOTAL,44101.11888
2021-02-01 11:00:00,2021,2,1,11,FWEST,3741.815521
2021-02-01 11:00:00,2021,2,1,11,SOUTH,3076.924694
2021-02-01 12:00:00,2021,2,1,12,TOTAL,42637.661167
2021-02-01 12:00:00,2021,2,1,12,SOUTH,3038.960142
2021-02-01 12:00:00,2021,2,1,12,EAST,1675.065208
2021-02-01 12:00:00,2021,2,1,12,SCENT,6343.274252
2021-02-01 12:00:00,2021,2,1,12,WEST,1201.511014
2021-02-01 12:00:00,2021,2,1,12,NORTH,826.622316
2021-02-01 12:00:00,2021,2,1,12,FWEST,3720.47669
2021-02-01 12:00:00,2021,2,1,12,NCENT,13639.088769
2021-02-01 12:00:00,2021,2,1,12,COAST,12192.662776
2021-02-01 13:00:00,2021,2,1,13,NORTH,784.727689
2021-02-01 13:00:00,2021,2,1,13,COAST,11909.054463
2021-02-01 13:00:00,2021,2,1,13,NCENT,12926.551403
2021-02-01 13:00:00,2021,2,1,13,WEST,1134.779216
2021-02-01 13:00:00,2021,2,1,13,SCENT,6121.929107
2021-02-01 13:00:00,2021,2,1,13,TOTAL,41153.48949
2021-02-01 13:00:00,2021,2,1,13,EAST,1615.067806
2021-02-01 13:00:00,2021,2,1,13,FWEST,3674.879243
2021-02-01 13:00:00,2021,2,1,13,SOUTH,2986.500563
