date,year,month,fuel_type,generation_mwh,pct_of_total_monthly
2016-06-01,2016,6,natural_gas,21595000.0,50.3709
2016-06-01,2016,6,nuclear,3587000.0,8.3668
2016-06-01,2016,6,hydro,288000.0,0.6718
2016-06-01,2016,6,wind,3782000.0,8.8216
2016-06-01,2016,6,solar,103000.0,0.2403
2016-06-01,2016,6,other,558000.0,1.3015
2016-07-01,2016,7,coal,13906000.0,28.8297
2016-07-01,2016,7,natural_gas,24140000.0,50.0466
2016-07-01,2016,7,nuclear,3710000.0,7.6915
2016-07-01,2016,7,hydro,57000.0,0.1182
2016-07-01,2016,7,wind,5675000.0,11.7653
2016-07-01,2016,7,solar,111000.0,0.2301
2016-07-01,2016,7,other,636000.0,1.3185
2016-08-01,2016,8,coal,13408000.0,28.7954
2016-08-01,2016,8,natural_gas,24861000.0,53.3922
2016-08-01,2016,8,nuclear,3709000.0,7.9656
2016-08-01,2016,8,hydro,82000.0,0.1761
2016-08-01,2016,8,wind,3702000.0,7.9505
2016-08-01,2016,8,solar,98000.0,0.2105
2016-08-01,2016,8,other,703000.0,1.5098
2016-09-01,2016,9,coal,12746000.0,30.3144
2016-09-01,2016,9,natural_gas,20988000.0,49.9168
2016-09-01,2016,9,nuclear,3604000.0,8.5716
2016-09-01,2016,9,hydro,79000.0,0.1879
2016-09-01,2016,9,wind,3915000.0,9.3112
2016-09-01,2016,9,solar,114000.0,0.2711
2016-09-01,2016,9,other,600000.0,1.427
2016-10-01,2016,10,coal,12029000.0,31.9326
2016-10-01,2016,10,natural_gas,16538000.0,43.9023
2016-10-01,2016,10,nuclear,3002000.0,7.9692
2016-10-01,2016,10,hydro,26000.0,0.069
2016-10-01,2016,10,wind,5451000.0,14.4704
2016-10-01,2016,10,solar,113000.0,0.3
2016-10-01,2016,10,other,511000.0,1.3565
2016-11-01,2016,11,coal,9214000.0,28.2577
2016-11-01,2016,11,natural_gas,14809000.0,45.4166
2016-11-01,2016,11,nuclear,3304000.0,10.1328
2016-11-01,2016,11,hydro,60000.0,0.184
2016-11-01,2016,11,wind,4516000.0,13.8498
2016-11-01,2016,11,solar,94000.0,0.2883
2016-11-01,2016,11,other,610000.0,1.8708
2016-12-01,2016,12,coal,12527000.0,34.6701
2016-12-01,2016,12,natural_gas,13738000.0,38.0217
2016-12-01,2016,12,nuclear,3802000.0,10.5225
2016-12-01,2016,12,hydro,29000.0,0.0803
2016-12-01,2016,12,wind,5373000.0,14.8705
2016-12-01,2016,12,solar,96000.0,0.2657
2016-12-01,2016,12,other,567000.0,1.5692
2017-01-01,2017,1,coal,11556000.0,32.5732
2017-01-01,2017,1,natural_gas,13501000.0,38.0556
2017-01-01,2017,1,nuclear,3814000.0,10.7506
2017-01-01,2017,1,hydro,96000.0,0.2706
2017-01-01,2017,1,wind,5873000.0,16.5544
2017-01-01,2017,1,solar,115000.0,0.3242
2017-01-01,2017,1,other,522000.0,1.4714
2017-02-01,2017,2,coal,8360000.0,27.6373
2017-02-01,2017,2,natural_gas,11952000.0,39.512
2017-02-01,2017,2,nuclear,3433000.0,11.3491
2017-02-01,2017,2,hydro,86000.0,0.2843
2017-02-01,2017,2,wind,5828000.0,19.2668
2017-02-01,2017,2,solar,141000.0,0.4661
2017-02-01,2017,2,other,449000.0,1.4843
2017-03-01,2017,3,coal,8309000.0,24.6514
2017-03-01,2017,3,natural_gas,14143000.0,41.9599
2017-03-01,2017,3,nuclear,3288000.0,9.7549
2017-03-01,2017,3,hydro,108000.0,0.3204
2017-03-01,2017,3,wind,7095000.0,21.0497
2017-03-01,2017,3,solar,212000.0,0.629
2017-03-01,2017,3,other,551000.0,1.6347
2017-04-01,2017,4,coal,9712000.0,29.0309
2017-04-01,2017,4,natural_gas,14099000.0,42.1444
2017-04-01,2017,4,nuclear,1851000.0,5.533
2017-04-01,2017,4,hydro,104000.0,0.3109
2017-04-01,2017,4,wind,6929000.0,20.712
2017-04-01,2017,4,solar,241000.0,0.7204
2017-04-01,2017,4,other,518000.0,1.5484
2017-05-01,2017,5,coal,11370000.0,29.7053
2017-05-01,2017,5,natural_gas,16119000.0,42.1126
2017-05-01,2017,5,nuclear,3553000.0,9.2826
2017-05-01,2017,5,hydro,113000.0,0.2952
2017-05-01,2017,5,wind,6310000.0,16.4855
2017-05-01,2017,5,solar,286000.0,0.7472
2017-05-01,2017,5,other,525000.0,1.3716
2017-06-01,2017,6,coal,12738000.0,30.152
2017-06-01,2017,6,natural_gas,20904000.0,49.4816
2017-06-01,2017,6,nuclear,2826000.0,6.6894
2017-06-01,2017,6,hydro,109000.0,0.258
2017-06-01,2017,6,wind,4839000.0,11.4543
2017-06-01,2017,6,solar,278000.0,0.6581
2017-06-01,2017,6,other,552000.0,1.3066
2017-07-01,2017,7,coal,13906000.0,28.892
2017-07-01,2017,7,natural_gas,25949000.0,53.9133
2017-07-01,2017,7,nuclear,2821000.0,5.8611
2017-07-01,2017,7,hydro,91000.0,0.1891
2017-07-01,2017,7,wind,4511000.0,9.3723
2017-07-01,2017,7,solar,292000.0,0.6067
2017-07-01,2017,7,other,561000.0,1.1656
2017-08-01,2017,8,coal,13408000.0,29.3591
2017-08-01,2017,8,natural_gas,24326000.0,53.2659
2017-08-01,2017,8,nuclear,3361000.0,7.3595
2017-08-01,2017,8,hydro,74000.0,0.162
2017-08-01,2017,8,wind,3694000.0,8.0886
2017-08-01,2017,8,solar,266000.0,0.5825
2017-08-01,2017,8,other,540000.0,1.1824
2017-09-01,2017,9,coal,12355000.0,31.509
2017-09-01,2017,9,natural_gas,17806000.0,45.4107
2017-09-01,2017,9,nuclear,3504000.0,8.9363
2017-09-01,2017,9,hydro,69000.0,0.176
2017-09-01,2017,9,wind,4754000.0,12.1241
2017-09-01,2017,9,solar,226000.0,0.5764
2017-09-01,2017,9,other,497000.0,1.2675
2017-10-01,2017,10,coal,10516000.0,29.0907
2017-10-01,2017,10,natural_gas,15725000.0,43.5005
2017-10-01,2017,10,nuclear,3047000.0,8.429
2017-10-01,2017,10,hydro,61000.0,0.1687
2017-10-01,2017,10,wind,6003000.0,16.6063
2017-10-01,2017,10,solar,242000.0,0.6695
2017-10-01,2017,10,other,555000.0,1.5353
2017-11-01,2017,11,coal,10948000.0,32.2313
2017-11-01,2017,11,natural_gas,13064000.0,38.4609
2017-11-01,2017,11,nuclear,3293000.0,9.6947
2017-11-01,2017,11,hydro,69000.0,0.2031
2017-11-01,2017,11,wind,5895000.0,17.3551
2017-11-01,2017,11,solar,186000.0,0.5476
2017-11-01,2017,11,other,512000.0,1.5073
2017-12-01,2017,12,coal,11470000.0,29.9392
2017-12-01,2017,12,natural_gas,16923000.0,44.1727
2017-12-01,2017,12,nuclear,3790000.0,9.8927
2017-12-01,2017,12,hydro,81000.0,0.2114
2017-12-01,2017,12,wind,5330000.0,13.9125
2017-12-01,2017,12,solar,181000.0,0.4724
2017-12-01,2017,12,other,536000.0,1.3991
2018-01-01,2018,1,coal,10673000.0,26.5201
2018-01-01,2018,1,natural_gas,18279000.0,45.4193
2018-01-01,2018,1,nuclear,3809000.0,9.4645
2018-01-01,2018,1,hydro,102000.0,0.2534
2018-01-01,2018,1,wind,6602000.0,16.4045
2018-01-01,2018,1,solar,246000.0,0.6113
2018-01-01,2018,1,other,534000.0,1.3269
2018-02-01,2018,2,coal,7109000.0,21.2285
2018-02-01,2018,2,natural_gas,16108000.0,48.1008
2018-02-01,2018,2,nuclear,3432000.0,10.2484
2018-02-01,2018,2,hydro,101000.0,0.3016
2018-02-01,2018,2,wind,6041000.0,18.0393
2018-02-01,2018,2,solar,237000.0,0.7077
2018-02-01,2018,2,other,460000.0,1.3736
2018-03-01,2018,3,coal,6262000.0,18.296
2018-03-01,2018,3,natural_gas,16318000.0,47.6772
2018-03-01,2018,3,nuclear,3538000.0,10.3372
2018-03-01,2018,3,hydro,102000.0,0.298
2018-03-01,2018,3,wind,7210000.0,21.0659
2018-03-01,2018,3,solar,310000.0,0.9057
2018-03-01,2018,3,other,486000.0,1.42
2018-04-01,2018,4,coal,7129000.0,21.2059
2018-04-01,2018,4,natural_gas,15321000.0,45.5738
2018-04-01,2018,4,nuclear,2791000.0,8.3021
2018-04-01,2018,4,hydro,108000.0,0.3213
2018-04-01,2018,4,wind,7477000.0,22.2411
2018-04-01,2018,4,solar,313000.0,0.931
2018-04-01,2018,4,other,479000.0,1.4248
2018-05-01,2018,5,coal,9028000.0,21.1741
2018-05-01,2018,5,natural_gas,21090000.0,49.4641
2018-05-01,2018,5,nuclear,3757000.0,8.8116
2018-05-01,2018,5,hydro,121000.0,0.2838
2018-05-01,2018,5,wind,7672000.0,17.9938
2018-05-01,2018,5,solar,362000.0,0.849
2018-05-01,2018,5,other,607000.0,1.4236
2018-06-01,2018,6,coal,10465000.0,22.8279
2018-06-01,2018,6,natural_gas,22971000.0,50.108
2018-06-01,2018,6,nuclear,3604000.0,7.8616
2018-06-01,2018,6,hydro,110000.0,0.2399
2018-06-01,2018,6,wind,7689000.0,16.7725
2018-06-01,2018,6,solar,450000.0,0.9816
2018-06-01,2018,6,other,554000.0,1.2085
2018-07-01,2018,7,coal,11283000.0,22.7439
2018-07-01,2018,7,natural_gas,28827000.0,58.1084
2018-07-01,2018,7,nuclear,3705000.0,7.4684
2018-07-01,2018,7,hydro,95000.0,0.1915
2018-07-01,2018,7,wind,4647000.0,9.3673
2018-07-01,2018,7,solar,439000.0,0.8849
2018-07-01,2018,7,other,613000.0,1.2357
2018-08-01,2018,8,coal,11384000.0,23.2754
2018-08-01,2018,8,natural_gas,26802000.0,54.7986
2018-08-01,2018,8,nuclear,3656000.0,7.475
2018-08-01,2018,8,hydro,83000.0,0.1697
2018-08-01,2018,8,wind,5968000.0,12.202
2018-08-01,2018,8,solar,425000.0,0.8689
2018-08-01,2018,8,other,592000.0,1.2104
2018-09-01,2018,9,coal,10342000.0,25.2035
2018-09-01,2018,9,natural_gas,22081000.0,53.8115
2018-09-01,2018,9,nuclear,3588000.0,8.744
2018-09-01,2018,9,hydro,71000.0,0.173
2018-09-01,2018,9,wind,4165000.0,10.1501
2018-09-01,2018,9,solar,331000.0,0.8066
2018-09-01,2018,9,other,456000.0,1.1113
2018-10-01,2018,10,coal,9517000.0,25.4445
2018-10-01,2018,10,natural_gas,18559000.0,49.619
2018-10-01,2018,10,nuclear,2903000.0,7.7614
2018-10-01,2018,10,hydro,68000.0,0.1818
2018-10-01,2018,10,wind,5599000.0,14.9694
2018-10-01,2018,10,solar,276000.0,0.7379
2018-10-01,2018,10,other,481000.0,1.286
2018-11-01,2018,11,coal,9255000.0,26.0147
2018-11-01,2018,11,natural_gas,16093000.0,45.2356
2018-11-01,2018,11,nuclear,3295000.0,9.2619
2018-11-01,2018,11,hydro,79000.0,0.2221
2018-11-01,2018,11,wind,6074000.0,17.0733
2018-11-01,2018,11,solar,286000.0,0.8039
2018-11-01,2018,11,other,494000.0,1.3886
2018-12-01,2018,12,coal,9274000.0,25.0236
2018-12-01,2018,12,natural_gas,17264000.0,46.5827
2018-12-01,2018,12,nuclear,3109000.0,8.3889
2018-12-01,2018,12,hydro,85000.0,0.2294
2018-12-01,2018,12,wind,6556000.0,17.6898
